2023-07-24 16:04:20,402 p=78824 u=lev.khramov n=ansible | PLAY [Nginx playbook] ************************************************************************************************************************************************************************************************************************
2023-07-24 16:04:20,419 p=78824 u=lev.khramov n=ansible | TASK [Gathering Facts] ***********************************************************************************************************************************************************************************************************************
2023-07-24 16:04:22,055 p=78824 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:04:22,072 p=78824 u=lev.khramov n=ansible | TASK [misc : Update apt repos cache] *********************************************************************************************************************************************************************************************************
2023-07-24 16:04:24,741 p=78824 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:04:24,760 p=78824 u=lev.khramov n=ansible | TASK [nginx : Install packages - nginx, certbot, python3-certbot-nginx] **********************************************************************************************************************************************************************
2023-07-24 16:04:26,000 p=78824 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:04:26,009 p=78824 u=lev.khramov n=ansible | TASK [nginx : Replace nginx configuration file (nginx.conf)] *********************************************************************************************************************************************************************************
2023-07-24 16:04:27,317 p=78824 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:04:27,327 p=78824 u=lev.khramov n=ansible | TASK [nginx : Replace nginx default site conf] ***********************************************************************************************************************************************************************************************
2023-07-24 16:04:28,227 p=78824 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:04:28,241 p=78824 u=lev.khramov n=ansible | TASK [php : Install php-fpm] *****************************************************************************************************************************************************************************************************************
2023-07-24 16:04:29,487 p=78824 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:04:29,495 p=78824 u=lev.khramov n=ansible | TASK [php : Create phpinfo file] *************************************************************************************************************************************************************************************************************
2023-07-24 16:04:30,342 p=78824 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:04:30,349 p=78824 u=lev.khramov n=ansible | TASK [php : Ensure *listen* directive is set] ************************************************************************************************************************************************************************************************
2023-07-24 16:04:30,973 p=78824 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:04:30,981 p=78824 u=lev.khramov n=ansible | TASK [php : Ensure *date.timezone* directive is set] *****************************************************************************************************************************************************************************************
2023-07-24 16:04:31,463 p=78824 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:04:31,497 p=78824 u=lev.khramov n=ansible | PLAY RECAP ***********************************************************************************************************************************************************************************************************************************
2023-07-24 16:04:31,497 p=78824 u=lev.khramov n=ansible | 10.0.140.14                : ok=9    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-07-24 16:08:58,373 p=79484 u=lev.khramov n=ansible | PLAY [Nginx playbook] ************************************************************************************************************************************************************************************************************************
2023-07-24 16:08:58,386 p=79484 u=lev.khramov n=ansible | TASK [Gathering Facts] ***********************************************************************************************************************************************************************************************************************
2023-07-24 16:09:00,188 p=79484 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:09:00,208 p=79484 u=lev.khramov n=ansible | TASK [misc : Update apt repos cache] *********************************************************************************************************************************************************************************************************
2023-07-24 16:09:01,323 p=79484 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:09:01,337 p=79484 u=lev.khramov n=ansible | TASK [nginx : Install packages - nginx, certbot, python3-certbot-nginx] **********************************************************************************************************************************************************************
2023-07-24 16:09:02,584 p=79484 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:09:02,593 p=79484 u=lev.khramov n=ansible | TASK [nginx : Replace nginx configuration file (nginx.conf)] *********************************************************************************************************************************************************************************
2023-07-24 16:09:03,730 p=79484 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:09:03,739 p=79484 u=lev.khramov n=ansible | TASK [nginx : Replace nginx default site conf] ***********************************************************************************************************************************************************************************************
2023-07-24 16:09:04,685 p=79484 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:09:04,699 p=79484 u=lev.khramov n=ansible | TASK [php : Install php-fpm] *****************************************************************************************************************************************************************************************************************
2023-07-24 16:09:05,952 p=79484 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:09:05,959 p=79484 u=lev.khramov n=ansible | TASK [php : Create phpinfo file] *************************************************************************************************************************************************************************************************************
2023-07-24 16:09:06,842 p=79484 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:09:06,851 p=79484 u=lev.khramov n=ansible | TASK [php : Ensure *listen* directive is set] ************************************************************************************************************************************************************************************************
2023-07-24 16:09:07,473 p=79484 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:09:07,482 p=79484 u=lev.khramov n=ansible | TASK [php : Ensure *date.timezone* directive is set] *****************************************************************************************************************************************************************************************
2023-07-24 16:09:07,971 p=79484 u=lev.khramov n=ansible | ok: [10.0.140.14]
2023-07-24 16:09:08,001 p=79484 u=lev.khramov n=ansible | PLAY RECAP ***********************************************************************************************************************************************************************************************************************************
2023-07-24 16:09:08,001 p=79484 u=lev.khramov n=ansible | 10.0.140.14                : ok=9    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
